time_stamp	px_state	py_state	v_state	yaw_angle_state	yaw_rate_state	sensor_type	NIS	px_measured	py_measured	px_ground_truth	py_ground_truth	vx_ground_truth	vy_ground_truth
1477010446800000	18.2734	6.55754	4.92685	0.961651	0.420572	lidar	1.02612	18.2164	6.66138	18.2888	6.40332	2.92421	3.96753
1477010446850000	18.4077	6.76765	4.87765	0.988279	0.429767	radar	0.284577	18.4022	7.02231	18.4328	6.60333	2.83093	4.0289
1477010446900000	18.555	6.89111	4.71384	0.972602	0.378965	lidar	1.23484	18.5422	6.76013	18.572	6.80638	2.7356	4.08867
1477010446950000	18.7048	7.1045	4.96492	0.987107	0.369605	radar	0.638044	18.8089	7.24388	18.7064	7.01237	2.63825	4.14672
1477010447000000	18.9086	7.23956	4.88302	0.953848	0.301209	lidar	3.51838	19.1441	7.18344	18.8359	7.22122	2.53893	4.20299
1477010447050000	19.0041	7.41598	4.4731	0.981976	0.323667	radar	3.19827	18.5479	7.4012	18.9604	7.43283	2.43767	4.25737
1477010447100000	19.0833	7.71252	4.66706	1.05393	0.39908	lidar	2.19434	19.0138	7.8688	19.0798	7.64712	2.3345	4.3098
1477010447150000	19.2076	7.91493	4.78654	1.06624	0.386036	radar	0.304401	19.3089	7.67375	19.1939	7.86397	2.22949	4.36017
1477010447200000	19.2828	8.14192	4.78525	1.1051	0.410984	lidar	1.26071	19.132	8.12845	19.3028	8.08329	2.12266	4.40842
1477010447250000	19.3807	8.3545	4.90416	1.12362	0.40376	radar	1.99719	19.0239	8.17194	19.4062	8.30497	2.01409	4.45445
1477010447300000	19.4795	8.48568	4.67338	1.11487	0.36248	lidar	2.93603	19.347	8.30741	19.5042	8.5289	1.90381	4.49819
1477010447350000	19.5767	8.68032	4.54931	1.13112	0.361714	radar	0.366127	19.6843	8.35902	19.5966	8.75494	1.7919	4.53956
1477010447400000	19.7381	8.85886	4.54021	1.11437	0.317429	lidar	3.93915	20.0039	8.8906	19.6835	8.983	1.67841	4.57848
1477010447450000	19.8202	9.06436	4.38381	1.14043	0.334464	radar	0.752138	19.6061	9.48659	19.7645	9.21294	1.56341	4.61488
1477010447500000	19.9424	9.31519	4.53939	1.16048	0.342281	lidar	3.6244	20.1574	9.45949	19.8398	9.44463	1.44697	4.64869
1477010447550000	19.9999	9.51166	4.24833	1.19273	0.368123	radar	1.6242	19.6163	9.76606	19.9093	9.67795	1.32916	4.67984
1477010447600000	20.0745	9.77611	4.41605	1.23241	0.398821	lidar	1.47466	20.1573	9.90876	19.9728	9.91275	1.21005	4.70826
1477010447650000	20.1335	10.0383	4.72554	1.26775	0.414671	radar	7.61508	19.1911	11.5493	20.0303	10.1489	1.08972	4.73389
