time_stamp	px_state	py_state	v_state	yaw_angle_state	yaw_rate_state	sensor_type	NIS	px_measured	py_measured	px_ground_truth	py_ground_truth	vx_ground_truth	vy_ground_truth
1477010446650000	17.8351	5.90323	4.69953	0.870364	0.378385	radar	0.566976	17.9216	6.07151	17.8297	5.82221	3.19151	3.77458
1477010446700000	18.0046	6.10457	4.75369	0.890886	0.380589	lidar	1.01589	18.1263	6.16985	17.9872	6.01269	3.10453	3.84027
1477010446750000	18.1583	6.30758	4.81569	0.912589	0.382417	radar	0.936096	18.1245	6.79027	18.1402	6.20641	3.01542	3.90462
1477010446800000	18.2784	6.5577	4.88103	0.958974	0.414275	lidar	0.986255	18.2164	6.66138	18.2888	6.40332	2.92421	3.96753
1477010446850000	18.4131	6.76565	4.86894	0.984135	0.420761	radar	0.280042	18.4022	7.02231	18.4328	6.60333	2.83093	4.0289
1477010446900000	18.5577	6.90089	4.76664	0.97874	0.389773	lidar	1.31293	18.5422	6.76013	18.572	6.80638	2.7356	4.08867
1477010446950000	18.7087	7.11008	4.88464	0.99075	0.376564	radar	0.798183	18.8089	7.24388	18.7064	7.01237	2.63825	4.14672
1477010447000000	18.9043	7.2524	4.83758	0.969477	0.330474	lidar	3.64352	19.1441	7.18344	18.8359	7.22122	2.53893	4.20299
1477010447050000	18.997	7.43822	4.64716	1.00133	0.354733	radar	3.54348	18.5479	7.4012	18.9604	7.43283	2.43767	4.25737
1477010447100000	19.0849	7.71859	4.75905	1.05643	0.398206	lidar	1.898	19.0138	7.8688	19.0798	7.64712	2.3345	4.3098
1477010447150000	19.2082	7.92227	4.78904	1.07022	0.389073	radar	0.269906	19.3089	7.67375	19.1939	7.86397	2.22949	4.36017
1477010447200000	19.2858	8.14471	4.78007	1.10451	0.405679	lidar	1.29287	19.132	8.12845	19.3028	8.08329	2.12266	4.40842
1477010447250000	19.3859	8.35481	4.82395	1.1214	0.397404	radar	2.1304	19.0239	8.17194	19.4062	8.30497	2.01409	4.45445
1477010447300000	19.4804	8.49665	4.67681	1.12223	0.374612	lidar	3.06903	19.347	8.30741	19.5042	8.5289	1.90381	4.49819
1477010447350000	19.5752	8.69662	4.61883	1.14139	0.377305	radar	0.423125	19.6843	8.35902	19.5966	8.75494	1.7919	4.53956
1477010447400000	19.7339	8.87748	4.60879	1.12967	0.34311	lidar	4.00902	20.0039	8.8906	19.6835	8.983	1.67841	4.57848
1477010447450000	19.8126	9.08868	4.5321	1.15795	0.360463	radar	0.896813	19.6061	9.48659	19.7645	9.21294	1.56341	4.61488
1477010447500000	19.9383	9.33006	4.61974	1.17161	0.356703	lidar	3.43036	20.1574	9.45949	19.8398	9.44463	1.44697	4.64869
1477010447550000	19.9909	9.53531	4.46732	1.20779	0.385857	radar	2.22779	19.6163	9.76606	19.9093	9.67795	1.32916	4.67984
1477010447600000	20.0727	9.79014	4.55775	1.23682	0.397801	lidar	1.20197	20.1573	9.90876	19.9728	9.91275	1.21005	4.70826
1477010447650000	20.1344	10.0438	4.67907	1.26585	0.404074	radar	7.47195	19.1911	11.5493	20.0303	10.1489	1.08972	4.73389
1477010447700000	20.1792	10.334	4.79867	1.31033	0.432306	lidar	1.22654	20.166	10.4687	20.0818	10.3863	0.968259	4.75666
1477010447750000	20.1987	10.5611	4.678	1.35421	0.466535	radar	2.88157	19.6775	10.803	20.1271	10.6247	0.845742	4.77652
1477010447800000	20.2529	10.8493	4.80252	1.3876	0.478889	lidar	2.24484	20.371	11.0109	20.1663	10.864	0.722256	4.7934
1477010447850000	20.2799	11.1128	4.87744	1.41997	0.486	radar	4.89306	19.4335	12.3402	20.1993	11.1041	0.597892	4.80727
